BuildingID,NoStories,FlArea,NoUnits,ConstYear,BuildVal,PermitDesc,PermitType,DateEvent,DateApplied,CheckDate,DateRecvd,DateFinaled,DateExpired,TimetoApply,RepairTime,TimetoFinal,,
6,0,3112,1,1995,1398580,UNDERPIN A PORTION OF THE FOUNDATION TO STABILIZE TH FOUNDAT,MINOR BUILDING,8/24/14,39947,FALSE,9/25/14,10/30/14,NULL,12,55,67,,35
7,0,1503,1,1984,699160,DEMO CHIMNEY REBUILD W WOOD CHASE INSTALL NEW GAS INSERT,FIREPLACE,8/24/14,39947,FALSE,9/23/14,10/21/14,NULL,12,46,58,,
8,0,2012,1,1974,175321,ROOF REPAIR/FRONT ROOM WALLS/DRY-WALL/STUCCO/PLY/ chimney,MINOR BUILDING,8/24/14,39947,FALSE,40161,3/23/15,NULL,12,199,211,,
18,0,1450,1,1922,264145,REPLACE SEWER LATERAL THAT FAILED,MINOR BUILDING,8/24/14,9/24/14,TRUE,40616,11/20/15,NULL,31,422,453,,
22,0,18780,1,NULL,111980,EARTHQUAKE STRUCTURAL REPAIRS,MECHANICAL,8/24/14,39947,FALSE,10/14/14,10/30/14,NULL,12,55,67,,
23,0,27490,NULL,1984,10488280,REPAIR CMU COLUMN PER ENGINEERED PLAN,MINOR BUILDING,8/24/14,39947,FALSE,40131,9/26/14,NULL,12,21,33,,
30,0,1953,1,1986,387182,REMOVE MASONARY CHIMNEY AND REPAIR INSERT FLUE PIPE, ROOFING,8/24/14,FIREPLACE,TRUE,39947,9/25/14,40435,,,32,,
35,0,1999,1,1981,242794,DEMO & REBUILD 2 MASONRY CHIMNEYS W NEW GAS INSERTS,FIREPLACE,8/24/14,9/29/14,TRUE,40616,7/28/15,NULL,36,302,338,,
42,0,1232,1,1961,544275,NULL,NULL,8/24/14,39947,FALSE,9/21/15,11/19/15,NULL,12,440,452,,
45,0,97515,141,2009,67040768,COM TI - ANDAZ HOTEL INTERIOR/EXTERIOR REPAIR),COM REMODEL,8/24/14,9/24/14,TRUE,40830,2/20/15,NULL,31,149,180,,
67,0,1260,1,1967,650124,RES - CAP AND SEAL CHIMNEY,FIREPLACE,8/24/14,39947,FALSE,10/21/14,4/18/16,NULL,12,591,603,,
70,0,772,1,1900,14710,REPAIRS TO FOUNDATION POSTS,MINOR BUILDING,8/24/14,39947,FALSE,3/17/15,4/15/15,NULL,12,222,234,,
71,0,6792,1,NULL,400396,"DEMOLISH CHIMNEY DOWN TO 16\\"" +- EXISTING ROOF\\""",FIREPLACE,8/24/14,39947,FALSE,1/29/15,2/24/16,NULL,12,537,549,,
83,0,1596,1,1983,326862,REATACH WOOD CHASE SECURE WITH LAG BOLTS PER CITY SPECS,FIREPLACE,8/24/14,9/18/14,TRUE,9/23/14,12/22/14,NULL,25,95,120,,
84,0,1898,1,1986,716314,SECURE WOODEN CHIMNEY TO HOUSE WITH LARGE STAINLESS SCREWS,FIREPLACE,8/24/14,9/18/14,TRUE,9/18/14,10/24/14,NULL,25,36,61,,
85,0,1736,1,1985,578662,REATTACH DAMAGED CHIMNEY,FIREPLACE,8/24/14,39947,FALSE,1/13/15,4/15/15,NULL,12,222,234,,
90,0,1375,1,1880,377254,RES - SHORE UP EAST FOUNDATION WALL AND REPAIR FRONT PORCH,MINOR BUILDING,8/24/14,39947,FALSE,40070,9/15/14,NULL,12,10,22,,
91,0,840,1,1910,294181,NULL,NULL,8/24/14,9/17/14,TRUE,37909,5/14/15,NULL,24,239,263,,
118,0,1376,1,1928,239019,FRAME EXTERIOR FIREPLACE & PRESSURE TREATED FOUNDATION,FIREPLACE,8/24/14,39947,FALSE,39858,8/27/15,NULL,12,356,368,,
135,1,1134,1,1957,384449,DEMO EXISTING CHIMNEY, BUILD WOOD CHASE WITH EXSITING INSERT,8/24/14,FIREPLACE,TRUE,9/23/14,9/20/14,NULL,,,27,,
143,0,1953,1,1986,741463,REMOVE DAMAGED CHIMNEY; INSTALL GAS INSERT,FIREPLACE,8/24/14,39947,FALSE,9/22/14,1/13/15,NULL,12,130,142,,
157,0,917,1,1937,524122,RES - DISMANTLE CHIMNEY AND LOWER TO SAVE LEVEL,FIREPLACE,8/24/14,39947,FALSE,41257,12/15/14,NULL,12,101,113,,
158,0,3918,2,1878,1600000,DEMO MASONRY CHIMNEY REBUILD STEEL STUDS,FIREPLACE,8/24/14,39947,FALSE,40647,12/23/14,NULL,12,109,121,,
163,0,1108,1,1900,420481,RES - FOUNDATION REPAIR ALL CONCRETE WORK),FOUNDATION,8/24/14,39947,FALSE,37240,3/25/15,NULL,12,201,213,,
164,0,1453,1,1939,536628,NULL,NULL,8/24/14,39947,FALSE,8/26/15,1/25/16,NULL,12,507,519,,
188,0,2030,1,1975,676388,REMOVE TO SHOULDER, REBUILD & INSTALL GAS INSERT W/ELEC,8/24/14,FIREPLACE,TRUE,40404,1/20/15,NULL,,,149,,
194,0,11325.6,NULL,NULL,NULL,REPLACE 5 FT CMU FENCE,MINOR BUILDING,8/24/14,40373,FALSE,2/18/15,4/14/15,NULL,44,189,233,,
196,2,1892,1,1910,582395,FOUNDATION REPLACEMENT,FOUNDATION,8/24/14,39947,FALSE,5/19/15,6/26/15,NULL,12,294,306,,
198,0,2257,1,1872,154408,REMOVE DAMAGED PLASTER AND REPAIR IN STARIWELL FOYER,MINOR BUILDING,8/24/14,40039,FALSE,9/19/14,10/24/14,NULL,15,46,61,,
240,0,1280,1,1953,60609,REINSTALL BRICK VENER ON CHIMNEY ON TOP NORTH SIDE ABOVE REI,FIREPLACE,8/24/14,39947,FALSE,9/24/14,9/25/14,NULL,12,20,32,,
242,0,1265,1,1952,609985,NULL,NULL,8/24/14,39947,FALSE,41196,5/21/15,NULL,12,258,270,,
243,0,1695,1,1951,201625,RES - FIREPLACE RETROFIT,FIREPLACE,8/24/14,9/23/14,TRUE,10/23/14,1/21/15,NULL,30,120,150,,
246,0,1302,1,1953,605524,REPAIR F/P CHIMNEY WITH GAS INSERT,FIREPLACE,8/24/14,9/23/14,TRUE,37787,5/26/16,NULL,30,611,641,,
