LandValue,ImprovementValue,HOEX,Latitude,Longitude,Delta,TimetoFinal,ConstructionDelay,Neighbours,TimetoApply,RepairTime
437457,314570,False,38.55989036,-122.6926411,665.0,1031.0,87.0,6,366.0,578.0
965823,1170144,True,38.5311648,-122.6935115,893.0,1067.0,149.0,1,174.0,744.0
806298,468789,True,38.55306295,-122.688311,747.0,1128.0,228.0,8,381.0,519.0
583720,248357,True,38.55192425,-122.6913611,-1.0,-1.0,133.0,6,423.0,-1.0
578169,317911,True,38.55460364,-122.6912811,588.0,668.0,116.0,6,80.0,472.0
459000,712980,False,38.55734404,-122.6890601,353.0,597.0,-1.0,6,244.0,426.0
1711590,1086825,False,38.55186871,-122.6811241,469.0,708.0,-1.0,9,239.0,537.0
150118,184978,True,38.55713356,-122.6802954,-1.0,-1.0,65.0,8,288.0,-1.0
212857,91655,True,38.55745182,-122.6752488,-1.0,-1.0,462.0,8,695.0,-1.0
306000,739500,False,38.55667286,-122.6762139,919.0,1219.0,268.0,8,300.0,651.0
76192,537460,True,38.55747884,-122.679141,916.0,1302.0,153.0,8,386.0,763.0
208520,370385,True,38.55869243,-122.6776224,146.0,701.0,85.0,8,555.0,61.0
213322,149167,True,38.55894328,-122.6804992,-1.0,-1.0,139.0,9,532.0,-1.0
52364,196224,True,38.5609518,-122.680593,-1.0,-1.0,-1.0,8,715.0,-1.0
346098,370470,True,38.52455184,-122.6801768,-1.0,-1.0,80.0,10,232.0,-1.0
664000,812909,False,38.53167099,-122.6838054,69.0,153.0,35.0,4,84.0,34.0
463755,216418,False,38.53461246,-122.6844031,-1.0,-1.0,-1.0,3,286.0,-1.0
591076,81500,False,38.53052696,-122.6773939,-1.0,-1.0,579.0,6,799.0,-1.0
693091,889825,False,38.52516886,-122.673872,503.0,854.0,205.0,7,351.0,298.0
545927,944567,True,38.52257292,-122.6751625,644.0,989.0,281.0,9,345.0,363.0
229690,90177,True,38.52686672,-122.6646326,-1.0,-1.0,106.0,1,259.0,-1.0
101909,669544,True,38.51282791,-122.684906,844.0,1134.0,174.0,14,290.0,670.0
197187,395468,True,38.51865058,-122.6741808,592.0,1043.0,101.0,8,451.0,491.0
147702,400834,True,38.51750463,-122.6745542,-1.0,-1.0,203.0,8,98.0,-1.0
97975,305419,True,38.51681885,-122.6762002,626.0,1014.0,208.0,8,388.0,418.0
322025,662486,True,38.51678116,-122.6787365,638.0,1169.0,120.0,9,531.0,518.0
851458,781468,False,38.5186869,-122.6775169,486.0,856.0,150.0,9,370.0,336.0
254354,330231,False,38.48563545,-122.6697944,807.0,1069.0,96.0,16,262.0,711.0
694361,407848,False,38.48737345,-122.673189,606.0,1343.0,236.0,25,737.0,370.0
315000,513094,True,38.48857162,-122.6690872,574.0,1030.0,125.0,15,456.0,449.0
750000,1150000,True,38.49415046,-122.6841041,-1.0,-1.0,62.0,33,318.0,-1.0
15231,70452,True,38.49298257,-122.6820266,-1.0,-1.0,175.0,39,272.0,-1.0
126897,193200,True,38.48993474,-122.6766765,884.0,1254.0,87.0,37,370.0,797.0
50171,111045,False,38.49617155,-122.6887706,716.0,925.0,60.0,27,209.0,656.0
68284,95625,True,38.4899231,-122.6777525,591.0,1014.0,53.0,39,423.0,538.0
486545,356545,True,38.49538293,-122.6837006,792.0,1228.0,182.0,34,436.0,610.0
121649,184339,True,38.49471125,-122.6741361,195.0,356.0,45.0,19,161.0,150.0
519480,874916,False,38.49319799,-122.6829065,-1.0,-1.0,-1.0,36,28.0,-1.0
460000,569567,True,38.49524031,-122.6892103,739.0,1232.0,166.0,26,493.0,573.0
243492,182107,True,38.49281777,-122.6754108,1031.0,1444.0,112.0,30,413.0,919.0
667498,943999,False,38.49001222,-122.6731811,510.0,994.0,76.0,25,484.0,434.0
243765,382434,True,38.49103066,-122.6745023,696.0,927.0,56.0,31,231.0,640.0
580068,1030874,True,38.49164877,-122.6788428,533.0,891.0,162.0,40,358.0,371.0
337624,218740,True,38.49843755,-122.7104428,-1.0,-1.0,592.0,29,339.0,-1.0
418768,383328,True,38.49988217,-122.7065367,794.0,1098.0,118.0,54,304.0,676.0
675568,875786,False,38.49995912,-122.705023,601.0,946.0,174.0,56,345.0,427.0
362179,689057,True,38.49735863,-122.702297,825.0,1022.0,153.0,47,197.0,672.0
688468,1023767,True,38.49872386,-122.7008429,745.0,850.0,48.0,48,105.0,697.0
606740,1334839,True,38.49735769,-122.6984755,852.0,959.0,29.0,43,107.0,823.0
438600,1193400,False,38.50053441,-122.6867276,957.0,1324.0,54.0,32,367.0,903.0
45955,52339,True,38.49867627,-122.6882038,-1.0,-1.0,-1.0,30,1701.0,-1.0
371320,417901,True,38.500125,-122.6872022,726.0,1035.0,189.0,33,309.0,537.0
602881,41222,False,38.49885027,-122.6828754,655.0,1466.0,294.0,37,811.0,361.0
427380,10200,False,38.50046863,-122.6848885,-1.0,-1.0,80.0,34,1491.0,-1.0
862589,462940,True,38.49912369,-122.6851553,1008.0,1477.0,290.0,34,469.0,718.0
515920,428726,True,38.497184,-122.659278,-1.0,-1.0,-1.0,1,805.0,-1.0
307670,153969,False,38.50916569,-122.6775093,850.0,1073.0,51.0,8,223.0,799.0
1100434,1576830,True,38.50585553,-122.678062,930.0,1233.0,179.0,18,303.0,751.0
476104,239349,False,38.50607981,-122.6713963,330.0,548.0,22.0,8,218.0,308.0
334941,111301,True,38.50111319,-122.6846631,497.0,1081.0,97.0,34,584.0,400.0
242580,346545,False,38.49998026,-122.6861367,332.0,576.0,30.0,32,244.0,302.0
565762,621395,True,38.50162902,-122.6873817,623.0,1099.0,161.0,31,476.0,462.0
156409,256023,True,38.50307542,-122.6873977,736.0,1130.0,183.0,32,394.0,553.0
109927,305964,True,38.50472938,-122.6883381,380.0,682.0,51.0,29,302.0,329.0
295161,494836,True,38.5020787,-122.6854676,513.0,1305.0,119.0,35,792.0,394.0
453798,15300,False,38.501279,-122.6860133,-1.0,-1.0,-1.0,32,759.0,-1.0
26924,177334,True,38.50614409,-122.6897001,-1.0,-1.0,111.0,26,388.0,-1.0
124770,385027,False,38.50550681,-122.6874526,518.0,645.0,41.0,27,127.0,477.0
400235,277569,True,38.50727388,-122.6883836,210.0,401.0,41.0,22,191.0,169.0
720056,15767,False,38.50884981,-122.6892366,-1.0,-1.0,574.0,19,791.0,-1.0
1051178,78837,False,38.51006577,-122.6916491,-1.0,-1.0,400.0,18,716.0,-1.0
900000,50000,False,38.51111184,-122.6927183,-1.0,-1.0,334.0,20,1137.0,-1.0
166541,165958,True,38.51102148,-122.6940486,539.0,883.0,-1.0,21,344.0,712.0
66150,253967,True,38.51398141,-122.6960185,392.0,679.0,-1.0,18,287.0,508.0
537170,586449,True,38.51304744,-122.7013084,498.0,1479.0,62.0,20,981.0,436.0
179223,279033,True,38.51534297,-122.6975838,400.0,737.0,64.0,20,337.0,336.0
225692,439357,False,38.5166705,-122.6965548,802.0,1154.0,156.0,17,352.0,646.0
68863,342625,False,38.51857891,-122.6974404,1109.0,1228.0,126.0,17,119.0,983.0
