Region,LandValue,ImprovementValue,HOEX,Latitude,Longitude,Delta,TimetoFinal,ConstructionDelay,Neighbours,TimetoApply,RepairTime
SR,664000,686241,FALSE,38.47143374,-122.7320261,-1,-1,-1,2,1164,-1
SR,450323,1187978,TRUE,38.42022905,-122.5848235,591,857,94,1,266,497
SR,348025,510385,TRUE,38.48252401,-122.6806765,769,1092,41,9,323,728
SR,459330,442925,TRUE,38.483145,-122.680435,-1,-1,877,5,568,-1
SR,44810,32011,FALSE,38.47280392,-122.748495,-1,-1,275,836,323,-1
SR,255580,383370,FALSE,38.47695545,-122.7523575,356,581,62,923,225,294
SR,351000,526000,TRUE,38.47695569,-122.7525919,696,1049,76,907,353,620
SR,136472,382146,FALSE,38.47695688,-122.7528192,587,828,102,890,241,485
SR,206113,401869,FALSE,38.47695809,-122.7530465,257,841,31,871,584,226
SR,163031,321556,TRUE,38.47695927,-122.7532738,406,888,96,850,482,310
SR,48691,128050,FALSE,38.47696077,-122.753502,195,420,30,832,225,165
SR,357510,536010,FALSE,38.47693853,-122.7541623,420,959,100,776,539,320
SR,237029,510130,TRUE,38.4769772,-122.7539218,441,716,35,803,275,406
SR,108616,282278,FALSE,38.47696156,-122.7537126,322,500,101,819,178,221
SR,43804,156185,FALSE,38.47066691,-122.74835,258,359,32,569,101,226
SR,257641,462724,FALSE,38.47066718,-122.7485649,433,611,125,569,178,308
SR,210235,137064,FALSE,38.47066867,-122.7489896,1024,1409,85,569,385,939
SR,68425,149733,TRUE,38.47065831,-122.7494365,378,528,60,565,150,318
SR,332000,498000,FALSE,38.47078953,-122.7496386,400,647,130,591,247,270
SR,110789,188748,TRUE,38.47096328,-122.7497618,424,559,109,605,135,315
SR,106519,324701,FALSE,38.4710976,-122.7498849,314,435,35,632,121,279
SR,287640,431460,FALSE,38.47123362,-122.7500032,314,435,35,647,121,279
SR,153124,275601,TRUE,38.47136963,-122.7501215,781,1056,88,669,275,693
SR,67550,212335,TRUE,38.47200957,-122.7499575,329,714,44,749,385,285
SR,204000,423300,FALSE,38.47190564,-122.749684,393,778,92,725,385,301
SR,109731,164293,TRUE,38.47208284,-122.7495037,403,734,89,751,331,314
SR,153193,263841,FALSE,38.47231924,-122.7494145,443,759,182,775,316,261
SR,168187,129851,FALSE,38.4723017,-122.7496576,223,862,35,773,639,188
SR,247335,373065,TRUE,38.47225927,-122.7498732,553,822,147,771,269,406
SR,167495,243504,FALSE,38.47195878,-122.7505277,353,633,63,734,280,290
SR,72400,104579,FALSE,38.47232079,-122.7489822,-1,-1,165,775,401,-1
SR,194467,122048,TRUE,38.47210854,-122.7489786,236,890,48,753,654,188
SR,72400,129521,TRUE,38.47166528,-122.7490694,723,962,35,712,239,688
SR,210235,448296,TRUE,38.47160529,-122.7493307,436,702,105,707,266,331
SR,73579,207886,TRUE,38.4715114,-122.7495856,485,652,487,702,167,-1
SR,156188,291087,TRUE,38.4713334,-122.749375,385,602,118,659,217,267
SR,68380,94925,TRUE,38.47132721,-122.7486143,-1,-1,71,655,189,-1
SR,72722,223950,FALSE,38.47111063,-122.7486232,218,414,37,636,196,181
SR,76554,44022,FALSE,38.47111899,-122.7480421,1070,1309,77,637,239,993
SR,118870,166427,TRUE,38.47132994,-122.7480379,480,616,7,657,136,473
SR,145611,396668,FALSE,38.47206247,-122.750708,506,759,41,745,253,465
SR,185918,309363,FALSE,38.47221986,-122.7508002,323,500,71,764,177,252
SR,141988,301737,TRUE,38.47234397,-122.7509368,537,755,71,772,218,466
SR,144680,131714,TRUE,38.47247144,-122.7510802,284,479,60,785,195,224
SR,206113,474061,FALSE,38.47260823,-122.7512047,351,617,50,797,266,301
SR,128313,306120,TRUE,38.47274635,-122.7513253,557,881,82,813,324,475
SR,282399,350803,TRUE,38.472889,-122.7514498,578,941,256,828,363,322
SR,130017,147269,TRUE,38.47303166,-122.7515743,350,584,131,832,234,219
SR,108653,156944,TRUE,38.47316979,-122.7516949,348,713,35,837,365,313
SR,161717,384685,FALSE,38.47330791,-122.7518154,402,682,45,845,280,357
SR,68063,108452,FALSE,38.47359322,-122.7520644,275,708,141,861,433,134
SR,144463,237978,TRUE,38.47389484,-122.7522778,299,435,61,875,136,238
SR,196854,295284,FALSE,38.47410422,-122.752348,448,716,54,884,268,394
SR,241245,365850,FALSE,38.47430039,-122.7519093,528,913,38,927,385,490
SR,97250,246320,TRUE,38.47430115,-122.7516545,254,395,29,942,141,225
SR,112839,152782,TRUE,38.47430271,-122.7514362,364,602,44,965,238,320
SR,121635,249390,FALSE,38.47430427,-122.7512179,474,771,56,968,297,418
SR,102614,247490,FALSE,38.47430585,-122.7509996,444,881,68,978,437,376
SR,123964,155879,FALSE,38.4743074,-122.7507813,-1,-1,47,985,283,-1
SR,206113,401920,FALSE,38.47430882,-122.7505587,-1,-1,108,991,192,-1
SR,105317,152452,TRUE,38.47430873,-122.7503319,941,1158,485,996,217,456
SR,110789,158064,TRUE,38.47430671,-122.7501051,395,503,150,999,108,245
SR,163647,334540,TRUE,38.47430449,-122.7498779,228,416,24,999,188,204
SR,69421,264531,FALSE,38.47434136,-122.7495943,1143,1339,74,1002,196,1069
SR,121347,199368,TRUE,38.4741523,-122.7495903,527,850,113,980,323,414
SR,68897,183748,FALSE,38.47396252,-122.7495892,432,649,163,965,217,269
SR,118704,202506,TRUE,38.47400946,-122.7500767,366,479,64,967,113,302
