Name,Income,Income_bracket,equity,home_value,replacement_cost,repair_cost,repair_time,insurance
HH1,143594,High,278707.6,696769,418061.4,153346.932413018,66.0248658076138,True
HH2,51123,Low,635746.5,706385,282554,260169.218635773,165.739856290972,True
HH3,97437,Moderate,418319.5,836639,501983.4,57815.1824831892,20.7312290545346,True
HH4,80305,Moderate,632931.2,791164,553814.8,334657.272026305,108.76977098614,True
HH5,59170,Low,826607,826607,413303.5,281632.194625544,122.655131235516,True
HH6,101997,Moderate,150322.4,751612,375806,260776.997247802,124.904497279459,True
HH7,54442,Low,412713.9,458571,275142.6,111544.086149052,72.9728348384778,False
HH8,144296,High,497772,497772,298663.2,94005.6663439758,56.6558583110194,False
HH9,130596,High,533389.5,592655,296327.5,238548.442614824,144.90291879987,False
HH10,87371,Moderate,123072.4,307681,215376.7,176602.730153294,147.594848595939,True
HH11,50057,Low,138278,345695,241986.5,111850.212497085,83.1990141990371,True
HH12,86979,Moderate,273328.3,390469,195234.5,36108.870730443,33.2912304509692,False
HH13,94615,Moderate,622180.8,691312,483918.4,172460.41063895,64.1489844465741,True
HH14,131110,High,240620.8,601552,240620.8,124349.262915252,93.0213320076455,True
HH15,73255,Low,550487,786410,393205,69285.0961830884,31.7170873029486,True
HH16,92249,Moderate,340627.5,681255,408753,113938.746690403,50.1744926747268,False
HH17,98988,Moderate,398871.2,569816,341889.6,116645.416400046,61.4121486936376,False
HH18,80300,Moderate,535476.6,594974,356984.4,62356.3494223224,31.441550095797,False
HH19,99380,Moderate,143033.2,715166,357583,255437.456372057,128.582013538032,True
HH20,59477,Low,201541,403082,282157.4,90205.0781694786,57.5455900518864,False
HH21,67143,Low,403519.2,504399,302639.4,2695.26592105529,1.6030558671143,False
HH22,74688,Low,699824,874780,437390,156281.172111293,64.3147099385739,True
HH23,77271,Low,228226.6,326038,130415.2,112080.720315944,154.69461885478,True
HH24,137355,High,253892.8,362704,253892.8,164885.990469112,116.897676044536,False
HH25,97416,Moderate,329540,411925,288347.5,96868.3132538049,60.4697331715548,True
HH26,64310,Low,361463,361463,180731.5,78882.4590825224,78.5631870197172,False
HH27,98706,Moderate,125471.4,418238,167295.2,36198.9956044083,38.9480344253362,True
HH28,74474,Low,586757.5,838225,502935,357213.329738837,127.846340686154,True
HH29,129958,High,155525.5,311051,217735.7,114671.501977048,94.7978230297958,False
HH30,92523,Moderate,713992.5,793325,396662.5,149678.221044745,67.9219230152939,False
HH31,80322,Moderate,647083.2,808854,485312.4,212032.669246586,78.6418819391088,True
HH32,136797,High,73148.6,365743,146297.2,99399.5829887518,122.298478289231,True
HH33,55424,Low,358857,398730,199365,283.188637217959,0.255681562456964,True
HH34,130940,High,455086.8,758478,530934.6,414363.617969789,140.479545380094,False
HH35,114650,Moderate,258604.2,862014,431007,207879.232309692,86.8159027944894,True
HH36,52828,Low,155573,311146,124458.4,60490.7409409682,87.485725104728,False
HH37,65700,Low,272411.6,681029,340514.5,17401.8508880034,9.1988246017148,True
HH38,117668,Moderate,116883.9,389613,272729.1,268919.82028663,177.485892233698,True
HH39,86414,Moderate,223503.2,558758,335254.8,36210.2728961561,19.4414789029362,False
HH40,137928,High,217149.6,542874,380011.8,275547.347794827,130.518374963801,False
HH41,149631,High,329657.6,824144,412072,184701.571071873,80.6807615973355,False
HH42,121692,High,209436.4,523591,209436.4,29139.512780993,25.0439384012461,True
HH43,100445,Moderate,407172.5,581675,407172.5,224719.992624634,99.342658633464,True
HH44,79412,Low,249450.4,623626,311813,1600.10697650535,0.923692263539244,True
HH45,72383,Low,198722.5,397445,238467,118681.824036312,89.5835831646985,False
HH46,119592,Moderate,421408,421408,294985.6,283350.935473697,172.900536111815,True
HH47,113187,Moderate,389637.6,649396,259758.4,257276.101776319,178.279887463649,False
HH48,103446,Moderate,201731.5,403463,242077.8,152398.335875,113.317703884867,False
HH49,129693,High,412869,412869,206434.5,44002.5454312745,38.3678996370733,False
HH50,55984,Low,680448.8,850561,595392.7,211297.568986807,63.8797929797011,True
HH51,131865,High,162162.9,540543,270271.5,48694.9793680162,32.4307086993742,False
HH52,53439,Low,448767.9,498631,249315.5,140583.486473933,101.498011817588,True
HH53,127427,High,327095.6,817739,490643.4,13481.9443341898,4.94605650489573,False
HH54,54972,Low,114778.2,573891,401723.7,398365.554013573,178.495318355484,False
HH55,142118,High,248685,497370,348159,250305.425761071,129.409197053624,True
HH56,60902,Low,231645.3,772151,540505.7,524983.323972359,174.830715596569,False
HH57,75811,Low,187794.6,625982,438187.4,428917.305009222,176.192001188669,False
HH58,138664,High,80329.2,401646,240987.6,68952.0606664902,51.5021142995251,True
HH59,105994,Moderate,509510.4,849184,424592,74190.1239853121,31.4518933879022,False
HH60,134387,High,401277.5,802555,321022,86420.6820912702,48.4568745332988,False
HH61,71898,Low,335038.9,478627,287176.2,118824.037082925,74.4780614651438,False
HH62,93130,Moderate,102198.2,510991,255495.5,131511.210230873,92.6514081130867,False
HH63,76389,Low,94394.4,314648,220253.6,29808.9602308048,24.3610676127195,False
HH64,79315,Low,179248.8,597496,418247.2,27189.1185614427,11.7013128624882,False
HH65,50195,Low,186726,373452,261416.4,121027.076332355,83.3339979428373,True
HH66,92421,Moderate,304864,304864,213404.8,2125.30054518578,1.79262180669526,True
HH67,88727,Moderate,246858.5,493717,345601.9,132857.782410955,69.1963812524525,False
HH68,135665,High,201979.5,403959,201979.5,20487.2233063721,18.2577944551154,False
HH69,125671,High,338668.8,564448,395113.6,351732.187186486,160.236938676795,True
HH70,58793,Low,351134.5,702269,491588.3,136381.01546719,49.9372804114627,False
