LandValue,ImprovementValue,HOEX,Latitude,Longitude,TimetoApply,RepairTime,TimetoFinal,ConstructionDelay,RepairTime.1,Neighbours
98426.0,383343.0,False,39.759905,-121.588701,104,211.0,315.0,-1.0,-1.0,143
60171.0,143771.0,False,39.769034,-121.625402,105,316.0,421.0,-1.0,-1.0,129
160829.0,352869.0,True,39.748721,-121.637955,109,242.0,351.0,-1.0,-1.0,83
91221.0,133348.0,False,39.744113,-121.644734,112,266.0,378.0,-1.0,-1.0,69
91940.0,294846.0,True,39.773956,-121.587565,112,336.0,448.0,-1.0,-1.0,135
127500.0,331500.0,True,39.784737,-121.599101,118,771.0,889.0,-1.0,-1.0,72
96498.0,144747.0,False,39.738925,-121.620398,123,269.0,392.0,-1.0,-1.0,39
85140.0,147196.0,True,39.773417,-121.587566,123,142.0,265.0,-1.0,-1.0,140
65164.0,161066.0,True,39.745615,-121.645624,125,209.0,334.0,-1.0,-1.0,55
87490.0,225289.0,False,39.754113,-121.592817,125,327.0,452.0,-1.0,-1.0,155
88702.0,263395.0,False,39.782745,-121.598926,125,204.0,329.0,-1.0,-1.0,89
69304.0,306147.0,True,39.746649,-121.593281,126,211.0,337.0,-1.0,-1.0,140
185658.0,309429.0,True,39.74474,-121.580968,126,258.0,384.0,-1.0,-1.0,83
48249.0,104226.0,True,39.781638,-121.595056,130,270.0,400.0,-1.0,-1.0,96
9225.0,129529.0,True,39.740584,-121.594494,132,420.0,552.0,-1.0,-1.0,83
61883.0,254343.0,True,39.772039,-121.620939,132,455.0,587.0,-1.0,-1.0,138
81223.0,181914.0,False,39.787958,-121.573085,137,221.0,358.0,-1.0,-1.0,77
78309.0,133782.0,True,39.784788,-121.587216,137,269.0,406.0,-1.0,-1.0,88
16622.0,42232.0,False,39.757571,-121.611573,139,573.0,712.0,-1.0,-1.0,44
51239.0,268623.0,False,39.755063,-121.602465,139,492.0,631.0,-1.0,-1.0,99
55774.0,181379.0,False,39.726613,-121.635072,140,211.0,351.0,-1.0,-1.0,30
69620.0,273122.0,True,39.753444,-121.581138,140,383.0,523.0,-1.0,-1.0,107
92958.0,254017.0,False,39.767295,-121.634832,144,-1.0,-1.0,-1.0,-1.0,109
97072.0,101562.0,False,39.786512,-121.578292,145,307.0,452.0,-1.0,-1.0,105
34808.0,149564.0,True,39.74156,-121.592308,147,305.0,452.0,-1.0,-1.0,103
117941.0,280198.0,False,39.785448,-121.575291,147,232.0,379.0,-1.0,-1.0,88
78084.0,141725.0,True,39.768549,-121.582622,151,352.0,503.0,-1.0,-1.0,118
103895.0,408205.0,False,39.741671,-121.635111,152,377.0,529.0,-1.0,-1.0,98
42436.0,223217.0,True,39.767455,-121.584542,152,406.0,558.0,-1.0,-1.0,134
45200.0,433500.0,False,39.75,-121.635746,160,292.0,452.0,-1.0,-1.0,82
40156.0,123678.0,True,39.753218,-121.59686,161,250.0,411.0,-1.0,-1.0,126
40251.0,259748.0,True,39.786139,-121.598669,161,512.0,673.0,-1.0,-1.0,71
49000.0,112845.0,True,39.735534,-121.651443,166,189.0,355.0,-1.0,-1.0,66
31713.0,489519.0,False,39.78759,-121.575288,166,321.0,487.0,-1.0,-1.0,98
112200.0,214200.0,False,39.756956,-121.621499,167,453.0,620.0,-1.0,-1.0,51
82022.0,233309.0,False,39.736045,-121.632717,168,238.0,406.0,-1.0,-1.0,89
126141.0,538611.0,True,39.736045,-121.632717,172,653.0,825.0,-1.0,-1.0,89
84093.0,433500.0,True,39.752858,-121.64921,172,-1.0,-1.0,-1.0,-1.0,23
141647.0,210000.0,False,39.751246,-121.601631,173,447.0,620.0,-1.0,-1.0,88
75053.0,69692.0,True,39.795355,-121.585205,174,139.0,313.0,-1.0,-1.0,60
51170.0,56777.0,True,39.782755,-121.576419,174,216.0,390.0,-1.0,-1.0,93
69447.0,453862.0,True,39.759904,-121.587541,174,253.0,427.0,-1.0,-1.0,143
80856.0,190011.0,True,39.796915,-121.580751,175,483.0,658.0,-1.0,-1.0,62
289738.0,357926.0,True,39.782376,-121.57533,175,334.0,509.0,-1.0,-1.0,89
13571.0,65513.0,True,39.761495,-121.607203,179,480.0,659.0,-1.0,-1.0,60
83248.0,18174.0,True,39.729661,-121.600596,179,122.0,301.0,-1.0,-1.0,10
66929.0,282920.0,False,39.770682,-121.593225,180,372.0,552.0,-1.0,-1.0,127
63529.0,173294.0,False,39.741559,-121.593199,180,350.0,530.0,-1.0,-1.0,96
100475.0,314116.0,False,39.77555,-121.616894,180,380.0,560.0,-1.0,-1.0,105
61374.0,114983.0,True,39.759877,-121.59573,181,363.0,544.0,-1.0,-1.0,126
82022.0,154109.0,True,39.773569,-121.603723,182,350.0,532.0,-1.0,-1.0,119
91005.0,61728.0,True,39.773141,-121.585352,182,259.0,441.0,-1.0,-1.0,133
101858.0,265592.0,True,39.775449,-121.602675,182,251.0,433.0,-1.0,-1.0,123
86633.0,133199.0,True,39.776037,-121.577575,183,292.0,475.0,-1.0,-1.0,91
44013.0,111081.0,True,39.765483,-121.59319,183,517.0,700.0,-1.0,-1.0,140
91005.0,142186.0,True,39.767959,-121.631338,187,218.0,405.0,-1.0,-1.0,131
55514.0,22206.0,True,39.776965,-121.617613,188,253.0,441.0,-1.0,-1.0,98
164046.0,316063.0,True,39.774053,-121.631716,189,-1.0,-1.0,-1.0,-1.0,79
38697.0,153527.0,True,39.79473,-121.579226,189,358.0,547.0,-1.0,-1.0,69
59175.0,255898.0,False,39.75437,-121.595814,189,251.0,440.0,-1.0,-1.0,143
57907.0,116780.0,True,39.766534,-121.607279,189,246.0,435.0,-1.0,-1.0,97
40609.0,69197.0,False,39.783846,-121.594652,189,243.0,432.0,-1.0,-1.0,88
72433.0,68899.0,False,39.769102,-121.591613,189,-1.0,-1.0,-1.0,-1.0,128
103056.0,170043.0,False,39.781622,-121.577565,190,200.0,390.0,-1.0,-1.0,102
50684.0,282388.0,True,39.738571,-121.647938,190,405.0,595.0,-1.0,-1.0,85
79647.0,214961.0,True,39.738571,-121.647938,193,465.0,658.0,-1.0,-1.0,85
131396.0,230828.0,True,39.732506,-121.615959,193,109.0,302.0,-1.0,-1.0,17
19621.0,176223.0,True,39.773591,-121.598911,194,412.0,606.0,-1.0,-1.0,135
52193.0,164031.0,False,39.755454,-121.587711,194,251.0,445.0,-1.0,-1.0,145
