LandValue,ImprovementValue,HOEX,Latitude,Longitude,Delta,TimetoFinal,ConstructionDelay,Neighbours,TimetoApply,RepairTime,Units,IncomeRatio,YearBuilt,BuildingCode,Occupancy,Stories,Basement,Area,ConstructionClass,ReplacementCost
664000,686241,False,38.47143374,-122.7320261,-1.0,-1.0,-1.0,2,1164.0,-1.0,1,0.9903444249854058,1960,Post1940,RES1,1,True,1275,Custom,220476.1875
450323,1187978,True,38.42022905,-122.5848235,591.0,857.0,94.0,1,266.0,497.0,1,0.9903444249854058,1960,Post1940,RES1,1,False,1700,Average,198322.0
348025,510385,True,38.48252401,-122.6806765,769.0,1092.0,41.0,9,323.0,728.0,1,0.9903444249854058,1960,Post1940,RES1,1,False,1700,Custom,271167.0
459330,442925,True,38.483145,-122.680435,-1.0,-1.0,877.0,5,568.0,-1.0,1,0.9903444249854058,1940,Post1940,RES1,1,False,1700,Average,198322.0
44810,32011,False,38.47280392,-122.748495,-1.0,-1.0,275.0,836,323.0,-1.0,1,0.9903444249854058,1940,Post1940,RES1,1,False,1700,Average,198322.0
255580,383370,False,38.47695545,-122.7523575,356.0,581.0,62.0,923,225.0,294.0,1,0.9903444249854058,1960,Post1940,RES1,1,False,1700,Average,198322.0
351000,526000,True,38.47695569,-122.7525919,696.0,1049.0,76.0,907,353.0,620.0,1,0.9903444249854058,1950,Post1940,RES1,1,True,1275,Average,159196.5
136472,382146,False,38.47695688,-122.7528192,587.0,828.0,102.0,890,241.0,485.0,1,0.9903444249854058,1940,Post1940,RES1,2,False,1700,Average,208675.0
206113,401869,False,38.47695809,-122.7530465,257.0,841.0,31.0,871,584.0,226.0,1,0.9903444249854058,1960,Post1940,RES1,2,False,1700,Average,208675.0
163031,321556,True,38.47695927,-122.7532738,406.0,888.0,96.0,850,482.0,310.0,1,0.9903444249854058,1960,Post1940,RES1,1,False,1700,Custom,271167.0
48691,128050,False,38.47696077,-122.753502,195.0,420.0,30.0,832,225.0,165.0,1,0.9903444249854058,1940,Post1940,RES1,2,False,1700,Average,208675.0
357510,536010,False,38.47693853,-122.7541623,420.0,959.0,100.0,776,539.0,320.0,1,0.9903444249854058,1960,Post1940,RES1,2,False,1700,Average,208675.0
237029,510130,True,38.4769772,-122.7539218,441.0,716.0,35.0,803,275.0,406.0,1,0.9903444249854058,1940,Post1940,RES1,1,False,1700,Average,198322.0
108616,282278,False,38.47696156,-122.7537126,322.0,500.0,101.0,819,178.0,221.0,1,0.9903444249854058,1950,Post1940,RES1,2,False,1700,Average,208675.0
43804,156185,False,38.47066691,-122.74835,258.0,359.0,32.0,569,101.0,226.0,1,0.9903444249854058,1960,Post1940,RES1,1,False,1700,Average,198322.0
257641,462724,False,38.47066718,-122.7485649,433.0,611.0,125.0,569,178.0,308.0,1,0.9903444249854058,1950,Post1940,RES1,1,False,1700,Average,198322.0
210235,137064,False,38.47066867,-122.7489896,1024.0,1409.0,85.0,569,385.0,939.0,1,0.9903444249854058,1950,Post1940,RES1,1,False,1700,Average,198322.0
68425,149733,True,38.47065831,-122.7494365,378.0,528.0,60.0,565,150.0,318.0,1,0.9903444249854058,1940,Post1940,RES1,1,False,1700,Average,198322.0
332000,498000,False,38.47078953,-122.7496386,400.0,647.0,130.0,591,247.0,270.0,1,0.9903444249854058,1960,Post1940,RES1,1,False,1700,Average,198322.0
110789,188748,True,38.47096328,-122.7497618,424.0,559.0,109.0,605,135.0,315.0,1,0.9903444249854058,1950,Post1940,RES1,1,False,1700,Custom,271167.0
106519,324701,False,38.4710976,-122.7498849,314.0,435.0,35.0,632,121.0,279.0,1,0.9903444249854058,1940,Post1940,RES1,2,True,1275,Average,163215.9375
287640,431460,False,38.47123362,-122.7500032,314.0,435.0,35.0,647,121.0,279.0,1,0.9903444249854058,1960,Post1940,RES1,1,False,1700,Average,198322.0
153124,275601,True,38.47136963,-122.7501215,781.0,1056.0,88.0,669,275.0,693.0,1,0.9903444249854058,1960,Post1940,RES1,1,False,1700,Average,198322.0
67550,212335,True,38.47200957,-122.7499575,329.0,714.0,44.0,749,385.0,285.0,1,0.9903444249854058,1950,Post1940,RES1,1,False,1700,Average,198322.0
204000,423300,False,38.47190564,-122.749684,393.0,778.0,92.0,725,385.0,301.0,1,0.9903444249854058,1960,Post1940,RES1,2,False,1700,Custom,278715.0
109731,164293,True,38.47208284,-122.7495037,403.0,734.0,89.0,751,331.0,314.0,1,0.9903444249854058,1960,Post1940,RES1,1,False,1700,Custom,271167.0
153193,263841,False,38.47231924,-122.7494145,443.0,759.0,182.0,775,316.0,261.0,1,0.9903444249854058,1940,Post1940,RES1,1,False,1700,Custom,271167.0
168187,129851,False,38.4723017,-122.7496576,223.0,862.0,35.0,773,639.0,188.0,1,0.9903444249854058,1950,Post1940,RES1,1,False,1700,Average,198322.0
247335,373065,True,38.47225927,-122.7498732,553.0,822.0,147.0,771,269.0,406.0,1,0.9903444249854058,1960,Post1940,RES1,1,False,1700,Average,198322.0
